mtPC1,mtPC2,mtPC3,data...6.
-2.79335,2.95476,0.560675,H2a2a1
-1.8918,2.67427,0.217494,H2a2a1
5.55424,-0.430257,-17.912,I2a1a
-0.796027,6.69429,3.7774,U5b1b2
-0.159901,7.2904,3.35697,K1a4a1a2b
-3.98435,-6.97563,3.33345,J1c2c2
-5.07266,-6.50774,0.811,J1c3+189
-2.48288,3.15502,0.469623,H1f1
1.14372,-0.70004,-42.2282,W6a
-8.82629,-24.899,2.70409,T2b4
-4.71806,-6.05495,2.93482,J1c1d
0.319729,5.26538,2.49004,U4d1a1
-0.771488,7.43995,3.91928,U5b1b2a
-2.64676,2.74925,0.256015,H1a8
-3.45119,4.41147,-0.320331,H6a1a3
-7.87143,-20.2643,2.47633,T2e1
-3.10768,2.85994,0.608676,V1a1a
-1.01495,7.46938,5.79909,K1a2a2
1.81477,6.7618,5.71359,K1a4a1f
-1.8636,2.85131,-2.38813,W5a
3.46354,3.22732,3.31519,U5a2a1e
-0.247688,3.31963,0.412794,H2a2a1f
-1.26427,-5.34519,2.26142,J1c2b5
-8.51896,-24.4136,2.47111,T2b4
9.28433,3.6392,4.19929,U5b1b2a
2.7029,6.47237,4.52196,U5b1b1a
-2.61112,3.64622,0.513502,H2a1
16.7005,-2.68684,1.90302,H2a2a1
-2.36276,2.77197,0.284492,H1q1
-0.771488,7.43995,3.91928,U5b1b2a
-2.79319,3.28915,0.432759,H1c
0.718379,2.19635,1.0347,H5a1e
42.7211,-8.1101,3.83053,H2a2a1
17.777,-0.874069,3.35531,U5b
31.9865,-6.23921,-4.98206,I1a1a
16.785,-2.76355,-0.381641,X2c
43.8173,-9.12068,4.02186,J2a1a1a
41.1599,-8.48112,2.96851,U5a'b
-4.79561,-6.41704,2.7994,J1c2n1
-0.602109,7.0886,4.23251,U5b1b1a
-2.64676,2.74925,0.256015,H1a2
47.2575,-8.91857,4.19586,U5b
23.8502,-4.18765,3.11619,H1a8
-2.30883,2.64149,0.301494,H1a2
-0.928679,2.66001,0.757968,H2a2a1
-1.81356,2.77149,0.230765,H2a2a1
35.604,-5.07515,4.32697,U5b1b1a
-0.335505,5.26823,4.06884,K2a11
-2.01406,2.96685,0.346828,H3c
-2.83623,3.14455,0.398825,H1bw
-2.5804,2.60462,0.524903,H2a2a1
-2.68279,2.85768,0.34996,H2a2a1
-1.87103,3.21866,-1.48661,H2a2a1f
-2.68279,2.85768,0.34996,H2a2a1
-2.21015,2.46847,0.467118,H2a2a1
-3.09664,4.28638,0.685335,H13a1a1
-4.35851,-7.83451,2.54788,J1c2e2
-2.78149,2.84628,0.54441,H1j2a
-1.77978,3.29658,-1.54628,H2a2a1f
-1.34371,2.62257,0.411041,H2a2a1
-4.75699,-6.07432,2.83638,J1c3c
-0.864562,2.99948,0.683031,H2a2a1
-2.39212,3.06078,0.449078,H1cd
-2.07146,2.02801,-0.427669,H2a2a1
-1.18452,7.208,4.0911,U5b2a6
-1.80731,2.70992,0.270426,H2a2a1
5.46796,-0.319323,-16.6237,I2
-2.36276,2.77197,0.284492,H1ah
-1.53875,4.16108,1.60741,U5a2+16294
-0.24041,7.52359,5.98454,K1a4a1e
0.348818,7.61371,4.30192,K1a4
-4.96853,-6.97663,2.46234,J1c3f
0.22204,6.24027,2.41953,U5a1h
-0.833083,7.35656,5.5612,K1a4a1e
-2.70069,2.87974,0.239013,H2a2a1
-3.11161,2.14975,-0.22264,H1c1a
-0.570785,5.46155,3.01642,U5a1e
-0.251144,5.96576,2.96356,U4a2f
-2.62963,3.05134,-0.283493,H1b1+16362
1.86722,4.72072,2.57262,U5a1c
-0.230552,7.12838,5.69502,K1a2a
-7.56509,-23.0721,2.24987,T2b13a
-3.7907,1.74551,0.800482,H2a2a1
-2.5466,2.92357,0.43703,H2a2a1
-1.98166,2.60486,-0.0152448,H2a2a1
-2.34508,2.61085,0.246778,H2a2a1
0.625556,2.70799,1.80412,U1a1a2
-5.20977,-20.5653,1.48137,T2a1b1a1b
-0.094076,2.85778,0.916526,U6a1a1
-2.35115,3.11297,0.39283,H2a2a1
-2.68279,2.85768,0.34996,H2a2a1
-8.24417,-22.8576,1.9816,T2a1a
-0.613467,2.01419,-0.628101,H8c
-0.636946,5.45693,2.28066,U4c1
1.23091,5.38243,2.13801,U4c1
-2.35151,2.17769,0.220215,H2a2a1
-1.76686,6.53114,2.93433,U5b1f1a
-0.749827,7.31115,5.77698,K1a2a
-1.4447,2.97197,0.911431,H2a2a1d
-3.02268,3.55954,-1.02219,H1e1a1
-1.16624,2.55511,-2.22272,H2a2a1f
-2.93038,2.14902,0.113775,H2a2a1
-2.19806,1.89082,0.17135,H2a2a1
-9.24634,-25.8906,2.71944,T2b5a
0.719024,6.01219,4.25538,K1c1
-2.34513,3.95753,0.592288,H2a2a1
-4.76921,-6.88355,0.272229,J1b1a1
-2.59616,2.83571,0.0891921,H7
-5.76915,-20.2829,1.97073,T1a1+@152
31.743,-5.54962,1.98119,H2a2a1
-2.66742,3.08945,0.587112,V3a
-9.02523,-24.4108,2.92148,T2b33
21.8535,-3.38961,2.79315,H2a2a1
36.4262,-6.1123,3.65606,U2e1a
35.8615,-5.3131,3.41536,U4
34.059,-6.93455,2.6137,H2a2a1
17.1911,-2.12635,0.656967,H2a2b
32.0749,-6.05624,2.29389,HV4a1a
9.60747,3.02204,3.51584,U5b3
13.8803,-1.90187,1.61991,H2a2a1
-1.85248,3.24132,0.19417,H2a2a1
0.176297,5.76806,2.20033,U4a
-1.44935,4.1266,2.08942,U5b3
-2.80497,3.30848,0.883343,H2a2a1
-2.93553,3.01757,0.565774,V25
-3.83078,3.17788,-0.16929,H6a1b2d
-1.75733,2.90287,0.103397,H2a2a1
-2.72589,4.9823,-0.465687,H4a1a4a
-3.4691,4.43353,-0.431278,H6a1a
1.61722,4.29595,2.36454,U5a2c
-2.40567,2.92439,0.459025,H2a2a1f
-2.14038,3.14957,0.402845,H1c3a
-1.50668,2.5068,0.505693,H2a2a1
-3.6358,5.01554,0.000849573,H4a1a
-2.26718,2.89021,0.272582,H2a2a1f
-2.52408,2.8668,0.171696,H2a2a1
-3.23917,1.66581,0.557517,H2a2a1
-2.3745,3.29637,1.08078,H5a1c1a
-2.65961,3.13161,0.331508,H2a2a1
0.0477502,7.45584,4.05226,U5b2c2b
-2.32423,3.23166,0.392996,H2a2a1
-3.39888,4.5752,-1.37152,H6a1a
1.55321,6.88443,3.31324,K1a4
0.939495,5.40783,2.19801,U5a1i1
35.977,-7.09936,3.03175,H2a2a1
36.361,-6.75636,2.70026,H2a2a1
49.0259,-10.5593,3.73237,H2a2a1
49.1092,-10.5216,3.77452,H2a2a1
-8.24804,-22.1033,2.29857,T2
-2.67679,3.3235,0.331434,H2a2a1
-7.65122,-22.1719,2.48575,T2b3+151
-2.35666,2.63463,0.173485,H2a2a1d
-1.82522,2.73198,0.159479,H2a2a1
-2.68279,2.85768,0.34996,H2a2a1
-1.46733,6.63253,1.7697,U5a1a1
-0.0319661,5.7871,1.98035,U4b1a1a1
6.6841,2.81022,5.23776,K1a2a1
-0.270589,6.74205,3.39888,U5b2a1a1a
-1.29204,6.99431,3.22225,U5b2a1a1
-8.70915,-26.0954,2.74843,T2b
-6.30367,-20.2066,2.62255,T1a6
-3.10439,3.69025,0.485694,H2a1
-2.51447,2.34888,0.192773,H2a2a1
3.20455,-1.50928,-32.4556,W1c1
-2.94853,3.22542,0.45043,H1c6
1.37306,4.50467,1.95951,U5a1c2a
-2.42625,2.91158,0.360075,H3v1
-2.35884,3.27049,0.797176,V16
-8.68565,-22.8621,2.63564,T2a1a
-1.26554,6.98877,1.88177,U5b2a1a1
-2.87987,3.51603,0.428215,H2a2a1
-2.33126,2.85701,0.399328,H2a5
-2.50748,4.48778,0.305171,H4a1a1
-4.28206,-6.37023,3.50943,J1c2c2
-2.23939,3.14718,-0.0651341,H1c3b
-0.600539,6.52329,4.98451,K1b1a1d
-2.47873,2.66723,0.385061,H2a2a1
-6.12705,-20.2195,2.55523,T1a6
0.93599,2.48831,0.982668,H2a1e1
-3.10497,3.394,0.330157,H1c1
-0.742985,2.1171,0.59299,H1a1a1
-2.2491,3.25156,0.349455,H1c3a
-2.67824,2.94913,0.511101,H2a2a1
-2.35885,3.01846,0.0726477,H2a2a1f
1.34738,-1.20358,-52.1658,W5a1
-1.03712,4.94576,2.79124,U5a2d1a
-7.90725,-24.2851,2.63222,T2b4b
9.61276,-0.374872,1.34859,H2a2a1
-7.11729,-23.5204,2.38578,T2b1
-1.7782,2.93814,-0.00128088,H2a2a1
-0.127967,5.04967,3.77423,K2a
-1.65581,2.07604,0.317619,H5b1
-5.80703,-20.3052,2.48976,T1a1+@152
-3.31686,-6.84596,3.31328,J1c3c
-1.82831,2.62733,0.462641,H2a2a1
-9.26424,-25.8685,2.6085,T2b1
0.0379864,2.17025,0.559105,H2a2a1
-1.05006,2.41387,-1.07918,H2a2a1d
-4.73596,-6.03289,2.82388,J1c5a1
1.53008,1.38503,-0.936648,H2a2a1
0.853649,5.42396,2.71223,U4b1b1d
-4.19878,-6.23771,2.85286,J1c1e
-2.94963,3.45773,0.312486,H1c1
-3.00049,3.48841,0.939616,H5a1p
-3.0904,-4.36952,1.88985,J2a1a1
-3.10123,4.12482,0.421776,H13a1a
-3.1772,-7.25901,0.352931,J1b1a1a
-2.63425,3.09511,-1.97313,H3ag1
-1.70125,2.62355,0.253895,H2a2a1
0.403735,3.44438,1.45196,U2e1b2
-2.29487,2.86102,0.163785,H2a2a1
-2.98376,3.17336,-1.22867,H1e1a
4.72987,-1.30618,-15.5117,I5a2
0.601644,2.82422,2.44145,U2e1f1
-1.63121,6.13609,-1.77534,U5a1j
-2.68532,3.11152,0.476165,V16
-3.14063,3.52358,0.290235,H1c1a
4.72783,-2.08513,-38.3627,W1c1
1.77583,-1.21317,-53.7723,W5a1a
-1.53163,-6.13538,2.84315,J2b1a3
-2.03019,1.40733,0.907003,H2a2a1
-1.55932,2.45117,0.744198,H5a6
-2.39212,3.06078,0.449078,H2a2a1
-2.46658,3.1496,0.416022,H2a2a1
-0.595675,6.06299,2.93638,U5a1b1
-3.05835,3.55972,0.259096,H1c1
-2.28739,2.79567,-0.228689,H2a2a1
-6.83828,-21.4964,1.26817,T2f1a1
1.24036,5.59499,3.53393,U5a1a2
-2.94103,2.837,0.50905,H5a6
0.13904,5.62507,0.413437,U5b1e
-1.66161,1.88094,-1.07244,H2a2a1
-8.62759,-25.9744,2.88334,T2b
1.48299,-1.2239,-40.3304,W3a1
-1.03532,2.69288,2.3779,U3a1
-1.36278,2.76801,0.489692,H2a2a1f
-2.38547,2.96817,0.383348,H2a2a1
-0.50261,2.57753,0.61597,H1f+16093
1.64182,4.46269,2.21376,U5a2a1
1.0316,5.83023,2.28416,U5a1b1a2
-0.923331,2.04337,0.0775774,H27
-3.33323,4.27515,-2.5212,H6a1b3
-2.63281,3.05063,0.182931,H3
-3.29787,4.90777,0.046328,H4a1a1
-2.51232,1.89172,0.661289,H2a2a1
3.7066,1.03676,0.94241,H2a2a1d
-1.70093,5.27463,2.59792,U5a2c3a
-2.06699,2.54286,0.478684,H2a2a1d
0.421477,2.60804,0.093219,H11a6
-4.65989,-5.52174,2.20787,J1c8a
-2.93196,4.13693,0.637537,H13a1a1a
-1.01364,2.50066,0.376783,H2a2a1
2.73734,1.05088,1.03181,H2a2a1
-1.98689,2.66197,0.200683,H2a2a1
1.77875,-2.81148,-28.3112,W8
-2.35441,2.86675,-1.14938,H2a2a1
1.06939,6.81592,5.21091,K1a1b1e
-1.98257,2.68514,0.519808,H2a2a1
-7.93519,-23.1781,2.26389,T2b7a3
-8.26805,-26.9762,1.91372,T2b3+151
-2.54313,3.34866,0.358746,H2a2a1
1.10783,-0.204197,-37.048,W6
-1.10233,3.03077,0.301019,H2a2a1
0.0132133,5.37299,1.61912,U4a
-2.33786,2.86654,-1.14629,H2a2a1
-1.98689,2.66197,0.200683,H2a2a1
1.79125,4.01778,2.77957,U5a1b1a
-3.53534,4.65197,-0.475536,H6a1b4
-1.41153,5.79336,3.54967,U5b2a3a
-2.33973,-5.61453,1.60853,J2a1a1
-3.05844,2.66674,0.482116,H2a2a1
-2.54034,2.22589,0.347319,H2a2a1
-1.31598,2.33562,-0.0926004,H2a2a1
-0.708239,5.8537,6.0108,K1a2a1
-2.61522,3.02668,-0.187551,H2a2a1
-1.75196,3.05084,0.643278,H2a2a1
-2.78704,1.92637,-0.30164,H2a2a1
-4.64197,-5.77966,0.565694,J1c17
-7.38164,-20.6488,2.16625,T2n
-0.228274,6.35899,5.05296,K1a4c1
-2.89159,3.07158,-1.17836,H1e2
-0.3806,2.30508,0.804199,H2a2a1
-3.24735,2.4979,0.53693,H5b
-4.46298,-6.80397,-2.08196,J1b1a3
-2.62885,2.72719,0.366962,H2a2a1
3.08207,0.11619,-6.47709,X2d1a
-0.654008,2.39432,-0.0540454,H2a2a1
0.9309,6.8501,5.39735,K1a1b1
0.529263,5.47329,3.17668,U5b1+16189+@16192
-2.70069,2.87974,0.239013,H2a2a1
-7.45946,-21.0706,2.4595,T1b2
-1.36753,2.64518,-3.03145,H2a2a1d
-4.48963,-6.83852,2.92694,J1c2
-7.02838,-20.1559,2.47343,T1a2a
-2.37158,2.8916,0.0317799,H2a2a1
-2.52043,2.81541,0.831196,H2a2a1
-1.35273,3.18536,0.636083,H2a2a1
-1.98257,2.68514,0.519808,H2a2a1
-2.80941,2.98173,0.185623,H2a2a1
-7.73294,-20.2985,2.28989,T2e1
-3.63923,-4.84975,2.19207,J2a2b2
-0.395222,2.35217,1.17816,H2a2a1
-2.84069,3.03845,0.323803,H2a2a1f
-0.632205,5.54795,2.98222,K2a8
-6.98836,-20.5533,2.37652,T1a2
-6.79767,-20.8828,0.467903,T2c1d
0.802696,7.20921,4.83567,K1a1b2a1a
-1.18962,5.50332,0.791497,U5a2b5
-2.97099,1.66093,0.478891,H2a2a1
1.16618,-0.927051,-52.4016,W5a1a
-2.24324,2.49868,-2.07569,H2a2a1
-0.415965,7.08727,5.00083,K1a
-1.12172,4.78919,2.4223,U5a2b2
-2.37084,2.9841,0.399432,H2a2a1
-2.89159,3.07158,-1.17836,H2a2a1
-0.588044,2.42977,-0.140004,H1a3a3
-2.84595,3.73674,0.163757,H2a2a1
-8.62838,-22.3053,2.35608,T2d2
-2.86733,3.04466,0.944345,H13b1b
-2.25554,3.07138,-0.693144,H2a2a1
-1.48275,2.78594,-0.737204,H2a2a1
-0.512523,5.4737,2.88718,U5a1b1a
-9.65717,-26.6419,0.307634,T2b7a3
0.180199,1.49091,1.15027,U7a4a1
