Affx-92047866A	Affx-92047866A.1	Affx-92047866B	Affx-92047866B.1
1122.34	2352.49	1316.45	6965.23
1168.49	1630.5	1414.7	9044.0
1148.44	1787.9	1450.29	6907.97
1276.43	1667.22	1556.07	8513.13
1273.15	1815.3	1631.3	7138.65
1302.53	1833.09	1588.52	7895.5
1076.24	1680.88	1319.89	7377.9
1166.73	1523.7	1349.01	5848.23
1109.58	1640.73	1123.59	8525.16
1177.22	1513.97	1203.17	7996.39
1227.5	1594.59	1725.84	7280.64
1178.43	1640.49	1829.47	9063.63
1200.03	1705.32	1220.28	7877.12
1046.17	1492.07	1341.75	8189.49
1168.19	1606.87	1500.06	8010.84
1185.41	1787.92	1748.96	6745.9
1272.7	1878.97	1553.19	8091.95
1172.2	1876.69	1393.52	8480.21
1249.82	1665.21	1520.4	7395.17
1208.71	1770.47	1232.76	8487.17
1222.68	1878.6	1275.64	6463.14
1098.11	1705.55	1411.84	8378.01
1211.75	2064.24	1440.39	9212.37
1046.13	1620.74	1554.08	7383.29
1096.47	1718.59	1610.94	6915.43
1507.48	1800.57	2137.18	7408.97
1223.87	2017.97	1365.92	7287.9
819.77	1974.89	1005.38	6378.24
1259.73	1608.94	1645.09	5793.04
1349.24	1687.37	1628.84	7272.3
1158.51	1786.29	1534.11	8987.68
1243.51	1912.39	1303.42	5870.41
1192.89	1860.55	1399.0	6288.07
1226.07	1834.64	1348.21	9678.83
1143.76	1523.86	1185.33	6197.79
1246.45	1670.38	1384.43	9559.71
1237.55	2017.87	1429.9	7774.9
1171.27	1898.39	1425.13	5879.24
1293.38	1757.83	1618.16	5669.99
1493.48	1705.47	1705.09	10741.51
1388.56	1924.3	1580.63	7118.22
1363.25	1859.73	1382.29	6259.16
1217.15	1805.61	1673.28	6461.11
1212.02	1783.87	1693.9	6047.22
1188.85	1644.81	1374.64	8011.32
1298.96	1568.5	1321.67	6842.98
1247.2	1761.78	1535.54	9114.11
1140.63	1745.12	1519.68	7370.45
1541.8	1911.89	1754.19	7886.61
1370.69	2013.93	1761.39	5459.22
1869.26	2091.41	1967.94	6800.52
1485.29	2074.28	1691.76	11625.87
1381.52	2025.41	1509.15	8365.09
1294.81	1694.08	1713.27	11260.92
1061.57	2118.63	1541.68	10334.96
1435.22	2114.27	1722.78	10707.78
1238.82	2122.28	1475.97	6309.61
1462.12	2032.09	1299.99	10429.72
1368.11	2063.42	1632.26	8641.75
1324.94	1652.91	1091.59	8507.62
1502.52	2002.69	1967.95	8350.95
1515.89	2007.6	1836.03	8001.92
1564.86	2241.36	1725.63	9678.75
1301.37	1799.58	1666.15	7436.73
1208.07	1830.9	1428.44	7223.66
1320.89	1940.62	1788.51	7663.62
1364.08	1956.74	1305.22	7325.34
1252.83	1942.95	1202.78	6690.35
1149.52	1797.88	1383.6	10053.15
1354.68	1555.43	1767.36	5059.27
1303.08	1780.96	1447.63	6442.26
1302.64	1739.86	1743.31	5634.86
1501.12	1971.25	1880.94	6681.97
1311.04	2509.76	1600.45	8920.82
1288.6	1925.74	1670.35	10099.99
1474.09	1790.74	1782.37	13009.69
1439.43	2313.53	1412.46	8679.8
1398.3	1691.25	1372.52	6654.26
1139.21	1669.17	1131.05	6128.83
1277.32	1955.64	1405.29	7651.87
1311.39	2154.1	1672.23	9964.69
1177.14	3448.17	1361.83	1417.78
1572.3	1548.71	1752.8	6379.25
1374.17	2040.95	1594.23	6024.84
1339.54	1877.39	1778.3	6907.61
1136.25	2025.84	1895.64	7735.8
1529.48	1980.2	1625.57	7192.25
1263.46	1705.43	1459.33	7778.48
1296.78	1759.82	1416.96	6931.99
1333.96	2017.2	1406.0	9129.62
